urologist,kb. penyakit-penyakit saluran kemih/kencing.
urology,kb. ilmu penyakit-penyakit saluran kencing.
ursa,kb.  U. Mayor bintang biduk/jung.
us,"kg. kami, kita. Go with us Pergi dengan kami."
"us, u.s.",[United States] kb. Amerika Serikat (AS).
usable,ks. dapat dipakai/dipergunakan.
usaf,[United States Air Force] Angkatan Udara AS.
usage,kb. 1 pemakaian. 2 (cara) pemakaian kata-kata.
uscc,[United States Coast Guard] Pengawal Pantai  AS.
usda,[United States Department of Agriculture] Departemen Pertanian AS.
use,"kb. 1 penggunaan.  2 kegunaan. 3 gunanya. -kkt. 1 menggunakan, mempergunakan, memakai (s.t.). -used ks. bekas.  -used to 1 dulu, dahulu. We u. to be friends Kami dahulu/pernah berkawan  2 biasa."
useful,"ks. berguna, bermanfaat, berfaedah. Make yourself u. Usahakanlah supaya kamu berguna.  -usefully kk. dengan berguna. u. employed dipekerjakan/dipakai dengan berguna."
usefulness,kb. kegunaan. to outlive o's u. meliwati kegunaannya.
useless,ks. 1 tak berguna/bermanfaat. u. invention penemuan yang tak berguna. 2 percuma. It's u. to ... Percuma saja... 3 sia-sia.
uselessness,kb. ketidakgunaan.
user,kb. pemakai. That country is a heavy u. of rice Negeri itu banyak menggunakan beras.
usher,"kb. 1 pelayan, penjaga pintu (at theater). 2 penerima tamu (at wedding). -kkt. mengantar(kan). to u. s.o. to his seat mengantarkan seseorang ketempat duduknya."
usherette,"kb. penunjuk jalan, penerima tamu, pelayan wanita."
usia,[United States Information Agency] Kantor Perwakilan Penerangan Amerika Serikat.
usis,[United States Information Service] kb. Jawatan Penerangan AS.
"usma, u.s.m.a.",[United States Military Academy] Akademi Militer AS.
usmc,[United States Marine Corps] KKO Angkatan Laut AS.
usn,[United States Navy] Angkatan Laut AS.
usna,[United  States Naval Academy] Akademi Angkatan Laut AS.
usnr,[United States Naval Reserve] Pasukan Cadangan Angkatan Laut AS.
uso,[United Service Organization] Badan Penghibur Angkatan Bersenjata.
uss,[United States Steamship] Kapal Api Amerika Serikat.
"ussr, e.s.s.r.","[Union of Soviet Socialist Republics] kb. Uni Republik-Republik Sovyet Sosialis, Uni Sovyet  (US)."
usual,"kb. biasa. I'll have the u. Yang biasa saja. -ks. biasa, lazim.  -usually kk. biasanya."
usurer,"kb. lintah darat,  tukang riba."
usurious,ks. luar biasa tinggi.  a u. rate of interest nilai bunga yang keterlaluan.
usurp,"kkt. merebut(kan), merampas kuasa."
usurpation,kb. perebutan/perampasan kuasa.
usurper,"kb. perampas kuasa, pengambil-alih kuasa, perebut (kekuasaan)."
usury,kb. (j. -ries) riba.  to practice u. makan/menjalankan riba.
utensil,"kb. alat, perkakas. household utensils alat/perabot rumah-tangga. writing utensils alat tulis-menulis."
uterine,ks. yang berkaitan dengan kandung (peranakan). u. kin saudara tiri seibu.
uterus,"kb. rahim, kandungan (peranakan)."
utilitarian,"ks. berfaedah, bermanfaat."
utility,"kb. (j. -ties) 1 keperluan. The tenant pays all utilities Penyewa membayar segala keperluan (pemanas air, penerangan dan  air (leding). 2 kegunaan."
utilization,"kb. penggunaan, pemanfaatan."
utilize,"kkt. menggunakan, memanfaatkan, mempergunakan. to u. the opportunity memanfaatkan kesempatan."
utmost,kb. to the u. sepenuhnya. -ks. yang sepenuhnya.
utopia,"kb. negara khayalan/idaman / impian, utopia."
utopian,"ks. berupa khyalan, tidak praktis."
utter,"ks. sama sekali. It is u. chaos Keadaan sama sekali  kacau-balau. -kkt. 1 mengucapkan. 2 memanjatkan (a prayer). 3 melahirkan, mengeluarkan (o's thoughts). -utterly kk. samasekali."
utterance,"kb. ucapan, ungkapan. to give u. to o's happiness mengungkapkan/melahirkan kebahagiaannya."
uttermost,#NAME?
uvula,kb. anak lidah/tekak.
uvular,ks. Phon.: diucapkan dengan anak lidah.
discursive,ks. tidak bersambungan satu sama lain.  His lectures are d.  Kuliah-kuliahnya tidak bersambungan satu  sama lain.
discus,"kb. cak(e)ram, diskus."
discuss,"kkt. membicarakan, merundingkan. to d. problem with membicarakan masalah  itu   dengan."
discussant,"kb. peserta dalam perundingan, diskusiwan, pembahas."
discussion,"kb. pembicaraan, diskusi, perundingan. to open a d. memulai pembicaraan. to come up for d. dikemukakan untuk pembahasan."
disdain,"kb. penghinaan, hina. to regard an offer with d. menganggap hina suatu tawaran. -kkt. meremehkan, tidak menghargai. to d. assistance  meremehkan bantuan."
disdainful,"kb. penuh kehinaan, bersifat (meng)hina.  to take a d. attitude towards mengambil sikap menghina terhadap."
disease,kb. penyakit. d. carrier penyebar penyakit.
diseased,ks. yang sakit. the d. part bagian yang sakit.
disembark,"kki. turun dari kapal, mendarat, naik darat."
disembarkation,"kb. pendaratan, penurunan dari kapal."
disembowel,kkt. mengeluarkan isi perut.
disenchant,kkt. mengecewakan. He was dischanted  after six months  Ia merasa kecewa setelah enam bulan.
disenchantment,kb. kekecewaan.
disengage,kkt. melepaskan. to d. o's hand from the rope melepaskan tangan dari tali.
disentangle,kkt. menguraikan/melepaskan/  membebaskan dari kekusutan.
disfavor,"kb. to be in d. with tak disukai oleh. to look with d. on tidak setuju dengan, tidak disukai oleh."
disfigure,"kkt. menodai, menjelekkan. to d. a beautiful view menjelekkan pemandangan yang indah."
disfigurement,"kb. 1 penodaan, pencacatan. 2 pengrusakan. d. of the countryside by billboards  pengrusakan pemandangan di daerah pedalaman oleh papan-papan iklan."
disfranchise,kkt. mencabut hak memilih (dari).
disfranchisement,kb. pencabutan hak memilih.
disgorge,kkt. 1 mencurahkan. 2 memuntahkan.
disgrace,"kb. aib, malu, arang dimuka.  to be a d. to  mendapatkan/mendatangkan nama buruk bagi. -kkt. memalukan, menodai, mencemarkan."
disgraceful,ks. memalukan. d. conduct  tingkah laku yang memalukan.  -disgracefully kk. secara memalukan. to act d. berlaku secara memalukan.
disgruntled,ks. tidak puas. a d. employee  pegawai yang tidak puas.
disguise,kb. 1 penyamaran. 2 samaran. -kkt. menyembunyikan. -disguised ks. yang tersembunyi. d. un-employment pengangguran tersembunyi.
disgust,"kb. kejijikan, kemuakan. -kkt. 1 menjijikkan. 2 memuakkan. 3 benci akan. -disgusted ks. jijik.  -disgusting ks. 1 cabul (book movie). 2 menjijikkan.  -disgustingly kk. yang menjijikkan."
dish,"kb. 1 hidangan, masakan. 2 piring. 3Sl.: bagian. 4 makanan. 5 Sl.: gadis yang cantik. -kkt. Sl.: meremukkan."
dishcloth,kb. kain untuk pencuci piring.
dishearten,"kkt. mengecilkan hati.  -dishearting ks. mengecilkan hati, mematahkan  harapan."
disheveled,"ks. 1 terurai. d. hair rambut terurai. 2 tak rapi, kusut. d. clothing pakaian tidak rapi, pakaian kusut."
dishful,kb. sepiring penuh.
dishonest,ks. tidak jujur.
dishonesty,kb. (j. -ties) ketidak jujuran.
dishonor,"kb. kecemaran, aib. to bring d. on o's family menyebabkan kecemaran pada keluarganya. -kkt. 1 memalukan. 2 menolak."
dishonorable,ks. tidak hormat. d. discharge pemecatan dengan tidak hormat.
dishpan,kb. panci untuk pencuci piring.
dishrag,kb. kain untuk pencuci piring.
dishwater,"kb. air pencuci piring, air cucian."
disillusion,kb. kekecewaan. -kkt. mengecewakan. -disillusioning ks. mengecewakan. d. experience pengalaman yang (sangat) mengecewakan.
disillusionment,kb. kekecewaan.
disinclination,"kb. keseganan, rasa benci."
disinclined,"ks. segan, tidak sudi."
disinfect,kkt. mendesinfeksi/menghapus/membasmi hama atau kuman.
disinfectant,"kb. obat pembasmi kuman, obat desinfeksi."
disinherit,kkt. mencabut hak waris. to d. a child mencabut hak waris seorang anak.
disinheritance,kb. pencabutan hak waris.
disintegrate,kkt. menghancurkan. -kki. hancur. The books disintegrated  Buku-buku itu hancur.
disintegration,kb. kehancuran.
disinter,kkt. (disinterred)  menggali dari kuburan.
disinterested,"ks. ks. yang tidak berkepentingan, yang tidak memihak. d. observer peninjau yang tidak berkepentingan."
disinterment,kb. penggalian kuburan.
disjointed,ks. 1 terpotong-potong. d. fowl unggas yang terpotong-potong anggota badannya. 2 terputus-putus. d. account of a trip keterangan yang terputus-putus tentang perjalanan.
disk,kb. 1 cakra(m). 2 Mus.: piringan (hitam). d. jockey penyiar radio yang menghidangkan lagu-lagu rekaman saja. 3 piringan sendi. slipped d. piringan sendi yang tergelincir.
dislike,"kb. benci, perasaan tidak suka. to have a d. for merasa tidak suka terhadap. -kkt. tak suka, membenci. I d. getting up early Saya tak suka bangun pagi-pagi."
dislocate,kkt. melepaskan. I dislocated my shoulder Tulang bahu saya tergelincir.
dislocation,kb. terlepas/tergelincir dari sambungan. shoulder d. sambungan bahu saya terlepas.
dislodge,"kkt. mengeluarkan, mencabut. to d. a fishbone from the throat mengeluarkan tulang ikan dari tenggorokan."
disloyal,ks. tidak setia/patuh.
disloyalty,"kb. (j. -ties) ketidaksetiaan, ketidakpatuhan."
dismal,"ks. 1 muram, sedih. d. future hari depan yang malang. 2 malang, tidak mujur. a d. day hari yang suram."
dismantle,kkt. membongkar.
dismay,"kb. kekagetan, kecemasan. to my d. saya cemas. - kkt. mencemaskan hati."
dismember,kkt. 1 memotong-motong. The body was dismembered Badan itu terpotong-potong. 2 memecah dalam bagian-bagian. The country was dismembered Negeri itu dipecah dalam bagian-bagian.
dismemberment,"kb. pemotongan, pembagian dalam bagian-bagian."
dismiss,"kkt. 1 membebaskan, memecatkan. 2 meliburkan. 3 menolak. 4 menghilangkan. 5 membubarkan."
dismissal,kb. 1 pembubaran. 2 pemecatan. 3 pembebasan. 4 penolakan.
dismount,kki. turun. to d. from a horse turun dari kuda.
disobedience,"kb. hal tidak mematuhi, ketidaktundukan, pengabaian perintah."
disobedient,ks. tidak tunduk (to kepada).
disobey,"kkt., kki. tidak mematuhi perintah, mengingkari peraturan."
disorder,"kb. 1 kekacauan.  2 keadaan tidak teratur, keadaan berantakan. 3 penyakit."
disorderly,"ks. kacau, yang melanggar peraturan. d. conduct perbuatan melanggar peraturan."
disorganization,kb. kakacauan. social d. kekacauan kemasyarakatan.
disorganize,"kkt. mengacaukan, menyebabkan berantakan. -disorganized ks. berantakan, tidak teratur, kacau, bingung."
disoverer,kb. penemu.
disown,"kkt. tidak mengakui, memungkiri. to d.o 's son memungkiri anaknya."
disparage,"kkt. meremehkan, menghina, mengecilkan, memperolok-olokkan.  -disparaging ks. yang meremehkan. -disparagingly kk. secara  yang meremehkan. to speak d. berbicara dengan pandangan rendah/hina."
disparagement,"kb. penghinaan, peremehan."
disparate,"ks. berbeda, tidak sama, berlainan. Their ages are quite d. Usia mereka sangat berbeda."
disparity,"kb. ((j. -ties) disparitas, perbedaan."
dispassionate,"ks. tidak memihak, tenang. to take a d. view of mengambil sikap yang tidak memihak mengenai."
dispatch,"kb. pengiriman. 2 kabar, berita tertulis.   -kkt. 1 mengirim, menyuruh, mengutus (troops, a messenger). 2 membunuh."
dispatcher,kb. orang yang memberangkatkan atau yang membolehkan trem atau mobil berangkat.
dispel,kkt. (dispelled) 1 menghalaukan. 2 menghilangkan.
dispensary,"kb. (j. -ries) 1 apotik. 2 klinik, rumah obat."
dispensation,kb. 1 dispensasi. 2 takdir. d. of providence takdir Allah.
dispense,kkt. 1 menyalurkan. 2 mengeluarkan. 3membagikan. 4 menyelenggarakan (justice).  to d. with 1 membuang. 2 melepaskan.
dispenser,"kb. 1 mesin penjual. cigarette d. mesin penjual rokok. 2 (person) pemberi, orang yang mengeluarkan."
dispersal,kb. 1 pengusiran.  d. of a crowd pengusiran orang ramai. 2 pembubaran.
disperse,kkt. 1 membubarkan. to d. a demonstration membubarkan demonstrasi. 2 mengedarkan (leaflets).  - kki. bubar.   The mob dispersed when the arrived  Orang ramai itu bubar ketika polisi tiba.
dispersion,kb. 1 pembubaran. 2 penyebaran.
dispirited,"ks. sedih, putus asa, kecil hati."
displace,"kkt. 1 menggantikan.  2 memecat, memindahkan. -displaced ks. yang terlantar. d. person orang terlantar."
displacement,kb. 1 pemindahan. 2 beratnya.
display,"kb. pameran, pertontonan, pertunjukan. book d. pameran buku. -kkt. 1 memperlihatkan, memamerkan. 2 memperlihatkan. 3 mempertunjukkan. 4 mengibarkan (the flag)."
displease,kkt. tak menyenangkan bagi. His attitude displeases me  Sikapnya tak menyenangkan bagi saya.
displeasure,"kb. perasaan tidak senang, perasaan tersinggung. to incur s.o.'sd. menimbulkan perasaan tidak senang pada seseorang."
disposable,ks. yang dapat dibuang.   d. cup cangkir yang dapat dibuang sesudah dipakai.  d. tissues kertas/serbet yang dapat dibuang.
disposal,"kb. 1 pembuangan. 2 penyelesaian. 3 pemberian, pembagian."
dispose,"kkt. mengatur.  -kki. menentukan. to d. of 1 membuang. 2 memberikan.3 makan, 4 menjual, 5 menyelesaikan. 6 mengalahkan.  -disposed ks. 1 ingin. 2 cenderung."
disposition,"kb. 1 watak. 2 pembagian, penempatan. 3 penyusunan, pengaturan.  4 kecondongan."
dispossess,kkt. mencabut hak milik rumah/flat (karena tak bayar).
disproportion,kb. ketidakseimbangan.
disproportionate,"ks. bersifat, tidak sepadan, tidak seimbang  (to dengan)."
disprove,"kkt. menyangkal, menyanggah, membantah. to d. a statement menyangkal ucapan."
dispute,"kb. perselisihan, percekcokan.  -kkt. membantah.  to d. with memperselisihkan, memperdebatkan."
disqualification,"kb. diskwalifikasi, pembatalan."
disqualifies,lih  DISQUALIFY.
disqualify,kkt. (disqualified) membatalkan. to d. s.o. for membatalkan seseorang buat
disquiet,"kb. keadaan tidak tenang, kegelisahan."
disquieting,"ks. yang bersifat menggangu, menggelisahkan. d. rumors desas-desus yang mengganggu."
disregard,"kb. sikap acuh tak acuh.  -kkt. 1 tidak memperdulikan, tidak menghiraukan. 2 mengabaikan, mengenyampingkan."
disrepair,"kb. keruntuhan, rusak. The house is in d. Rumah itu rusak."
disreputable,ks. 1 jelek. d. looking car mobil yang jelek. 2 bernama buruk. d. bar bar (warung) yang namanya tidak baik.
disrepute,"kb. keburukan. to hold in d. mengganggap hina/buruk, tidak menghormati."
disrespect,"kb. ketiadaan respek, sikap tidak sopan/hormat."
disrespectful,"ks. kasar, kurang ajar, tidak sopan. He's d. to his father Ia tak menghormati ayahnya."
disrobe,"kkt., kki. membuka/menanggalkan pakaian."
disrupt,"kkt. mengacaukan, mengganggu."
disruption,"kb. gangguan, kekacauan. d. of power service gangguan tenaga  listrik."
disruptive,"ks. yang mengacaukan, yang mengganggu, yang memecahbelah. d. influence pengaruh yang mengacaukan."
dissatisfaction,kb. ketidakpuasan.
dissatisfied,ks. tidak puas (with dengan).
dissect,"kkt. membedah, memotong."
dissection,"kb. pemotongan, pembedahan."
dissemble,kkt. menyembunyikan.
disseminate,"kkt. 1 menyebarkan (information). 2 menebarkan, menaburkan (seed)."
dissemination,"kb. 1 penyebaran (of information). 2 penebaran, pertebaran, penaburan (of seed)."
dissension,"kb. pertikaian, perselisihan."
dissent,"kb. perbedaan pendapat, ketidaksepakatan. -kki. tidak setuju, menolak."
dissenter,kb. orang ingkar.
dissertation,kb. disertasi.
disservice,"kb. perbuatan yang merugikan. One who overpraises performs a d. Orang yang  terlalu  memuji, merugikan orang."
dissident,kb. orang yang tak sepakat/setuju. -ks. yang tak sepakat/setuju. several d. voices beberapa suara-suara yang tak sepakat.
dissimilar,"ks. tidak sama, tidak cocok, berbeda."
dissimulate,"kkt. berpura-pura, sok, menyembunyikan."
dissimulation,"kb. penipuan, pura-pura, sok."
dissipate,"kkt. menghamburkan. -kki. 1 menghilang. 2 merisau, berfoya-foya. -dissipated ks. yang merisau, tidak teratur/senonoh."
dissipation,kb. 1 menghilangnya. d. of the fog menghilangnya kabut.  2 pemborosan. d. of energy pemborosan tenaga.
dissociate,"kkt. memisahkan, menjauhkan. to d. o.s. from memisahkan diri dari."
dissociation,kb. 1 disosiasi. 2 peruraian. 3 pemisahan diri.
dissolable,"ks. bisa menjadi cair, bisa larut. Sugar is d. in water  Gula dapat menjadi cair dalam air."
dissolute,"ks. risau, jangak."
dissolution,"kb. 1 pembubaran (of a firm, government).  2 terputusnya. d. of a marriage terputusnya pernikahan."
dissolve,kkt. 1 membubarkan.  to d. a partnership  membubarkan persekutuan.   2 melarutkan.  D. a cup of sugar in water  Larutkan satu cangkir gula dalam air.    -kki. larut. The sugar dissolved  Gula itu larut.
dissonance,"kb. 1 ketidakcocokan, ketidaksesuaian. 2 hiruk pikuk (of auto horn). 3 Mus.: kejanggalan bunyi."
dissonant,ks. tidak cocok/sesuai. d. music  musik yang tidak harmonis.
dissuade,kkt. meminta supaya jangan mengerjakan sesuatu.
dissyllabic,#NAME?
dist.,"(district) daerah, distrik."
distaff,kb. keluarga dari pihak ibu. We are related on d. side Kami ada hubungan keluarga dari pihak ibu.
distance,"kb. 1 jarak.  2 kejauhan. in the d. di kejauhan disana.  to keep at a d. menjauhkan, menjauhi.  to keep o's d. tidak terlalu ramah dengan, menjauhi."
distant,"ks. 1 jauh.  2 tidak ramah. -distantly kk. terpencil, renggang, jauh terpisah. d. related berhubungan  renggang, bersanak jauh, berfamili jauh."
distaste,"kb. kebencian, rasa tidak suka. to have a d. for tidak suka pada."
distasteful,distasteful
distemper,kb. penyakit pada binatang.
distend,"kkt. melembungkan. -kki. menggelembung, gembung. His  abdomen was distended Perutnya menggelembung."
distill,"kkt. 1 menyuling, menyaring. to d. water menyuling air.  2 menyaring. to d. the truth from the hearsay menyaring mana yang benar mana yang omong kosong dari apa yang dikatakan orang.  -distilled  ks yang disuling.  d. water air suling(an)."
distillate,"kb. hasil sulingan atau saringan, sulingan."
distillation,"kb. penyulingan, distilasi."
distiller,kb. penyuling. 2 penyulingan.
distillery,kb. (j. -ries) 1 tempat penyulingan. 2 perusahaan penyulingan. whiskey d. perusahaan penyulingan wiski.
distinct,"ks. 1 terang, jelas. 2 nyata. 3 berbeda. to keep s.t. d.  membedakan sesuatu. -distinctly kk. dengan jelas."
distinction,"kb. 1 perbedaan. 2 hormat. 3 jasa. 4 tanda kehormatan, medali."
distinctive,ks. 1 khusus. d. manner of dress cara berpakaian khusus. 2 tersendiri. d. sound bunyi yang tersendiri.
distinguish,"kkt. 1 membedakan. 2 membeda - bedakan, melihat dengan jelas. -kki. to d. between membedakan antara. -distinguished ks. terhormat,terkenal, terkemuka, masyur. -distinguishing ks. yang membedakan, istimewa, khusus."
distinguishable,ks. dapat di (per)bedakan.
distort,"kkt. mengubah.  -distorted ks. berubah (bentuk), menyimpang."
distortion,"kb. 1 distorsi.  d. -free viewing penglihatan yang bebas dari  distorsi. 2 penyimpangan, pemutar-balikan. d. of the facts penyimpangan dari kenyataan-kenyataan."
distowel,kb. lap piring.
distract,"kkt. 1 mengalihkan.  2 menggangu, membingungkan. -distracted ks. bingung, kacau pikiran. -distracting ks. mengacaukan pikiran, membingungkan."
distraction,"kb. 1 selingan. pleasant d. selingan yang menyenangkan. 2 gangguan, kebingungan. to drive s.o. to d. menyebabkan seseorang bingung."
distraught,"ks. bingung sekali, putus asa. to be d. over bingung sekali, ketakutan karena."
distress,"kb. keadaan yang sukar/berbahaya, kesukaran. -kkt. menyusahkan. -distressed ks. menderita. -distressing ks. menyedihkan, menyusahkan."
distribute,"kkt. 1 membagikan. 2 menyalurkan (commercial products). 3 menyebarkan, mengedarkan (leaflets).  4 mendistribusikan, membagikan. 5 mengageni (cars)."
distribution,"kb. 1 penyaluran. d. of rice penyaluran beras. 2 distribusi, pembagian (of prizes, wealth, candy)."
distributor,"kb. 1 penyalur (of rice, cloth). 2 pengecer. car d. pengecer mobil. 3 Auto.: pembagi arus, distributor, delko."
distributorship,"kb. 1 usaha atau daerah pengecer (of cars, refrigerators). 2 (agency) perwakilan, peragenan (sebagai penyalur)."
district,"kb. 1 daerah  (pemerintahan), daswati. 2 distrik.  d. attorney jaksa wilayah.  d. court pengadilan wilayah. d. judge ketua/hakim mahkamah daerah.  d. manager pemimpin wilayah."
distrust,"kb. rasa tidak percaya, ketidak percayaan. -kkt. tidak percaya. I d. him Saya curiga kepadanya."
distrustful,ks. bersifat curiga. He is d. of me Dia mencurigai saya.
disturb,"kkt. mengganggu.  Sorry to d. you Maaf saya menggangu saudara. -disturbing ks. mengganggu, menggelisahkan. d. news berita yang menggelisahkan."
disturbance,"kb. 1 gangguan, godaan. atmospheric d. gangguan cuaca. 2 kerusuhan, perusuhan. 3 kekacauan, pengacauan."
disturber,"kb. 1 pengganggu. d. of the peace pengganggu ketentraman/perdamaian. 2 perusuh, pengacau."
disunite,kkt. memecah-belah. The country was disunited Negeri itu terpecah-belah.
disunity,kb. (j. -ties) perpecahan.
disuse,kb. keadaan tidak dipakai. That expression has fallen into d. Ungkapan itu sudah tak dipakai lagi.
diswasher,kb. mesin atau orang pencuci piring.
disyllabic,ks. bersuku dua.
disyllable,kb. suku dua.
ditch,"kb. selokan, parit. -kkt. 1 mendaratkan diatas air (a plane). 2 Sl.: melenyapkan, menyingkirkan, membuang. to steal a car and then d. it mencuri mobil dan menyingkirkannya."
ditchdigger,kb. penggali parit.
dither,"kb. 1 sibuk sekali. to be all in a d. over o's wedding sibuk sekali karena perkawinannya. 2 gentar, gigil."
ditto,"kb. sama, dito. -kkt. menyalin, membuat suatu kopi. to d. a letter menyalin surat."
div.,(division) 1 bagian. 2 divisi.
divan,"kb. dipan, amben."
dive,"kb. penyelaman (of a submarine). 2 tukikan. 3 Inf.: tempat minuman dan permainan judi yang murah. -kki. 1 terjun. 2 menyelam. 3 Inf.: masuk. 4 berkecimpung, terjun. 5 menghilang. 6 merogoh. -diving kb. 1 penyelaman. 2 Sport ; loncat indah."
diver,"kb. penerjun. 2 penyelam, juru selam."
diverge,"kki. 1 berbeda. 2 menyimpang, bercabang. The roads d. two miles farther on Jalan-jalan itu bercabang pada jarak dua mil lagi."
divergence,kb. perbedaan. a d. of opinion perbedaan pendapat.
divergent,"ks. berlainan, berbeda. to hold d. opinions  mempunyai pendangan-pandangan yang berlainan."
diverse,ks. bermacam-macam. d. talents bermacam-macam bakat.
diversification,"kb. perbedaan, pembedaan, diversifikasi, penggolongan. d. of crops penggolongan hasil bumi."
diversify,"kkt. (diversified) membuat variasi, menanam berjenis-jenis tanaman. -diversified ks. berjenis-jenis, bergolongan. d. farming pertanian berjenis-jenis tanaman."
diversion,kb. 1 hiburan. 2 pengalihan. 3 Mil.: (gerakan) pengalihan perhatian. to create a d. mengadakan gerakan mengalihkan perhatian musuh.
diversionary,"ks. bersifat mengalih. d. tactics taktik mengalihkan perhatian, taktik untuk membingungkan."
diversity,"kb. (j, -ties) perbedaan. d. of industry aneka ragam industri."
divert,"kkt. 1 mengalihkan. 2 menggelapkan, menyelewengkan. 3 membelokkan. -diverting ks. mengasyikkan."
divest,"kkt. membebaskan, melepaskan. to d. o.s. of o's business interests  membebaskan dari kepentingan-kepentingan dagangnya."
divide,kb. pembagi. -kkt. 1 membagi. 2 memisahkan. -kki. 1 bercabang. 2 membagi. -divided ks. yang bercabang. a dividing wall sebuah tembok pemisah (antara dua rumah).
dividend,dividend
divider,"kb. 1 pembagi. 2 sekat, dinding pembagi. -dividers j. jangka pembagi garis."
divine,ks. 1 bersifat ketuhanan. 2 hebat. -kkt. meramalkan.
divinity,"kb. (j. -ties) 1 Dewa, Tuhan. 2 ketuhanan, kedewaan. d. school sekolah tinggi teologi(a)."
divisible,ks. dapat dibagi. Ten is d. by two Sepuluh dapat dibagi dengan dua.
division,kb. 1 divisi. d. commander komandan divisi   2 pembagian. 3 bagian. 4 pembelahan. cell d. pembelahan sel.
divisional,ks. yang berhubungan dengan divisi atau bagian. d. headquarters markas besar divisi.
divisive,ks. yang bersifat memecah belah. Their actions are d. in nature  Tindakan-tindakan mereka itu bersifat memecah- belah.
divisor,kb. pembagi.
divorce,"kb. 1 perceraian, talak. to get a d. minta cerai/talak. 2 pemisahan. -kkt. menceraikan, bercerai, talak. d. decree surat cerai/lepas/talak."
divorcee,kb. orang yang  diceraikan/bercerai.
divot,kb. lubang bekas tanah yang turut terpukul ketika melakukan pukulan bola golf.
divulge,"kkt. membuka rahasia, membocorkan, memberitahukan."
divvy,kkt. (divvied) Sl.: membagi-bagi.
dixie,d. cup mangkok minuman (terbuat dari  kertas).
dizziness,"kb. kepusingan, kepeningan."
dizzy,"ks. pusing, pening, tujuh keliling. to d. heights tinggi (sekali) sehingga memusingkan kepala. d. spell serangan pusing."
do,"kb. yang boleh atau yang harus dikerjakan.  -kkt. (did, done) 1 mengerjakan. 2 lari, menempuh. 3 melakukan, mengerjakan. 4 menyelesaikan. 5 membuat. 6 membereskan. 7 memecahkan, membuat.  8 bermain dalam. 9 mementas."
do.,(ditto) sama.
doc,kb. Inf.: cara berbicara pada seorang dokter.
doc.,(document) dokumen.
docile,ks. 1 jinak. d. dog anjing jinak. 2 patuh. d. people orang yang patuh.
dock,"kb. 1 dok, dermaga. 2 galangan kapal. -kkt. 1 membawakan ke dok (a ship) 2 memotong (wages, a horse's tail). 3 mengaitkan (a spaceship).  -kki. masuk dok. -docking kb. 1 masuk dok. 2 perkaitan (of a spaceship)."
docker,kb. buruh pelabuhan.
docket,kb. acara pengadilan.
dockside,kb. tepi dok. at d. di tepi dok sebelah pelabuhan. -ks.di pelabuhan. d. strike pemogokan di pelabuhan.
dockworker,kb. buruh pelabuhan.
dockyard,kb. galangan kapal.
doctor,"kb. (kep. Dr., dr) 1 Acad.: doktor. 2 Med.: dokter.  -kkt. Inf.: 1 mengobati, merawat. 2 membetulkan. 3 memalsukan (a document)."
doctoral,ks. doktoral. d. dissertation disertai doktoral.
doctorate,kb. gelar doktor.
doctrinaire,"ks. bersifat teoretis, yang tak praktis. d. ideas gagasan-gagasan yang tidak praktis. d. attitude sikap dogmatis."
doctrine,"kb. doktrin, ajaran."
document,kb. 1 dokumen. 2 surat-surat perjalanan.  -kkt. membuktikan kebenaran sesuatu.
documentary,"kb. (j. -ries) film dokumentasi. -ks. dokumenter (film, proof)."
dodder,"kki. gemetar, menggetar. -doddering ks. gemetar, menggigil. a d. idiot seorang pandir yang gemetar."
dodge,"kb. 1 alasan (menghindarkan sesuatu). 2 muslihat. 3 (peng)elakan. -kkt. 1 mengelak (a blow, question). 2 menghindari, menjauhi.  -kkt. mengelak."
dodger,kb. pengelak.
dodo,"kb. semacam burung yang tak dapat terbang. as dead as the d. punah, mati konyol/katak."
doe,kb. 1 (deer) kijang betina. 2 (rabbit) kelinci betina.
doer,"kb. seorang yang bertindak/berbuat, pelaku."
does,lih  DO.
doff,kkt. mengangkat. to d. o's hat mengangkat topinya.
dog,"kb. 1 anjing. 2 Inf.: orang.  -dogs j. Sl.: kaki. -kkt. (dogged) mengikuti. d. pound tempat mengumpulkan anjing-anjing yang hilang. -dogged ks. berkeras kepala, tabah, mantap. d. determination ketetapan yang pasti/mantap."
dogcart,kb. 1 bendi sado. 2 kereta yang ditarik anjing.
dogfight,kb. 1 perkelahian sengit. 2 pertempuran antara pesawat pemburu yang kejar-mengejar.
dogfood,kb. makanan anjing.
doggerel,kb. sanjak yang tidak bermutu kesusasteraan.
doggone,"ks. Sl.: celaka. -kk. sangat, amat."
doggy,kb. (j. -gies) anjing kecil. d. bag kantong untuk mengumpulkan sisa makanan (di restoran) untuk dibawa pulang.
doghouse,"kb. rumah/kandang anjing. Sl.: in the d. dibenci, tidak disukai.  I'm in the d. at home Saya menjadi dibenci di rumah."
dogma,"kb. dogma, ajaran agama, akaid."
dogmatic,ks. dogmatis. a d. person seorang yang fanatik terhadap sesuatu ajaran.
dogpaddle,kki. berenang seperti anjing.
dogwood,kb. pohon atau tanam-tanaman yang daun-daunnya putih atau merah.
doily,"kb. (j. -lies) alas yang ditaruh dibawah piring, semacam serbet kecil."
dokumentation,kb. dokumentasi.
